figure_id,scientific_question,source_data,script,panels,axes,units,expected_result,status,manuscript_location
F01,"What physical test section and optical coordinate system generated the measurements?","Verified apparatus photographs/CAD only after prototype identity; Chronos asset; basin geometry evidence","TO_BE_CREATED_AFTER_GEOMETRY_FREEZE","(a) hydraulic test section; (b) optical arrangement; (c) coordinate-system schematic","Physical x-y-z coordinates; dimensions only if verified","mm or m","A clean experimental schematic linking hydraulic geometry, light sheet, camera axis, ROI and later CFD coordinate system.",PARTIALLY_BLOCKED,"Methods 6.2"
F02,"Can every downstream field be traced to an exact acquisition and reproducible evidence gate?","Canonical Drive metadata; M0 outputs when available; ASCII provenance manifest; Git commit hashes","piv_tournament/scripts/run_m0_canonical.py; piv_tournament/scripts/astra_colab_m0.py; piv_tournament/scripts/astra_colab_ascii_freeze.py","(a) source-object identity chain; (b) historical pair mapping 4250–4500; (c) experimental-to-CFD firewall","Workflow/provenance diagram; no quantitative spatial axes","n/a","Evidence path makes clear what is VERIFIED, BLOCKED and intentionally locked.",CAN_GENERATE_NOW_WITH_BLOCKED_M0_LABEL,"Methods 6.1/6.3; Results 7.1"
F03,"What portion of an archived PIV field is masked, directly measured or interpolated, and what grid was exported?","Complete raw PIVlab exports; current 13-file byte-audited sample","piv_tournament/scripts/freeze_pivlab_ascii.py plus new plotting wrapper","(a) Vector type map for representative audited field; (b) static mask; (c) coordinate-pitch diagnostic","x [m], y [m]; pitch diagnostic in px or m","m; px","70×55 lattice, 1192 active cells and distinction among type 0/1/2; ~18 px exported pitch shown without inferring overlap.",CAN_GENERATE_NOW_FROM_AUDITED_SAMPLE,"Methods 6.4/6.5; Results 7.2"
F04,"How does direct PIV observation probability vary in time and space?","Full 250 frozen PIVlab Vector type fields; current retrospective tournament table can support only aggregate temporal evidence","TO_BE_CREATED_AFTER_250_FREEZE","(a) direct/type-1 fraction versus field index; (b) P(type-1|x,y); (c) optional direct-only availability histogram","Field index; x [m]; y [m]; probability/direct fraction","dimensionless fraction or %","Identify persistently direct, intermittently interpolated and masked regions without conflating direct coverage with historical VDP.",BLOCKED_250_FREEZE,"Methods 6.4; Results 7.2"
F05,"Are temporal subset statistics converged, and does any selector demonstrate robust superiority?","Retrospective 250-field tournament now; canonical M1 and convergence later","piv_tournament/scripts/run_astra_q1_superstudy.py; piv_tournament/scripts/run_temporal_robustness_v2.py","(a) retrospective selector robustness summary; (b) decision-rule vote/consensus; (c) final sample-size convergence after M1","N or scenario; convergence metric; consensus fraction","metric-dependent; dimensionless","Current panel can show unresolved 3/2/1 rule split and 0.60 consensus; final convergence panel remains pending.",PARTIALLY_GENERATABLE,"Methods 6.6/6.7; Results 7.3/7.4"
F06,"What is the experimentally resolved vortex velocity field and its spatial measurement uncertainty?","Frozen experimental subset; final PIV processing; reproduced uncertainty map","TO_BE_CREATED_AFTER_EXPERIMENTAL_FREEZE","(a) median velocity magnitude + vectors; (b) expanded uncertainty map; (c) relative uncertainty or direct-vector overlay if justified","x [m], y [m]","m/s; % where defined","Quantitative experimental field with uncertainty expressed on the same spatial support.",BLOCKED,"Results 7.5/7.6"
F07,"What field does the independently verified CFD model predict on the measurement plane?","Frozen CFD solution after experimental freeze; numerical verification outputs","TO_BE_CREATED_AFTER_CFD_UNLOCK","(a) velocity field on PIV plane; (b) free-surface/volume-fraction context if needed; (c) numerical-verification inset or separate supplement","x [m], y [m]","m/s; volume fraction dimensionless","CFD field plotted with same coordinates and color limits as PIV, after grid verification.",BLOCKED_CFD,"Results 7.7/7.8"
F08,"Where are the registered local PIV–CFD velocity discrepancies?","Common-coordinate PIV and CFD arrays; frozen mask; registration transform","TO_BE_CREATED_AFTER_REGISTRATION","(a) signed or vector discrepancy components; (b) absolute velocity discrepancy; (c) registration-sensitivity inset","x [m], y [m]","m/s","Local disagreement is spatially localized rather than hidden by a single global percentage.",BLOCKED,"Results 7.8"
F09,"Which discrepancies are significant relative to the adopted error criterion and local measurement capability?","Registered PIV/CFD discrepancy plus reproduced uncertainty field","TO_BE_CREATED_AFTER_UNCERTAINTY_AND_VALIDATION","(a) explicitly defined relative-error map if retained; (b) uncertainty-aware acceptance map; (c) threshold-area sensitivity","x [m], y [m]","%; dimensionless acceptance classification","Separate numerical discrepancy from whether it is resolvable within measurement uncertainty; historical 10/15% areas are not inserted until reproduced.",BLOCKED,"Results 7.8/7.9"
F10,"How do PIV and CFD compare in physically interpretable radial and tangential velocity structure?","Frozen PIV/CFD arrays; vortex-center method; uncertainty bands","TO_BE_CREATED_AFTER_VALIDATION","(a) tangential velocity vs radius; (b) radial velocity vs radius; optional sector sensitivity","r [m] or r/R; velocity","m/s","Profiles expose vortex-core and outer-flow agreement/disagreement with experimental uncertainty bands.",BLOCKED,"Results 7.5/7.8/7.9"
