claim_id,section,claim,required evidence,current evidence,status,source,reproduction script,result file,figure/table,blocker,final-use-allowed
C001,6.1/7.1,"Canonical acquisition object is vid_2025-08-29_19-28-15.mp4; Drive ID 1AqnbXPiEFmCsUeO3WlwkuxolkxI7af6U; provider size 714939306 bytes.","Provider metadata tied to exact object ID.","Exact Drive ID name and size are available; object metadata is stable.",VERIFIED,"Google Drive metadata; piv_tournament/results/M0_STATUS.json","piv_tournament/scripts/astra_colab_m0.py","piv_tournament/results/M0_STATUS.json",Figure 2,,YES
C002,6.1/7.1,"Canonical source complete SHA-256, ffprobe metadata, full sequential decode and direct verification of frames 4250-4500 are complete.","Complete canonical bytes; provider-bound identity; SHA-256; ffprobe; strict EOF decode; frame-range audit.","Current connector cannot retrieve the 714939306-byte object; M0 status remains BLOCKED_EXTERNAL_CANONICAL_EXECUTION_REQUIRED.",BLOCKED,"piv_tournament/results/M0_STATUS.json","piv_tournament/scripts/run_m0_canonical.py; piv_tournament/scripts/astra_colab_m0.py","M0_STATUS.json; ffprobe.json; execution_manifest.json",Figure 2,"External authenticated canonical M0 execution required.",NO
C003,6.3/7.1,"The historical downstream PIVlab population contains 250 consecutive exports covering pairs 4250/4251 through 4499/4500.","Complete namespace and pair-header continuity; preferably 250/250 byte freeze.","Drive folder exposes PIVlab_0001.txt through PIVlab_0250.txt; retrospective tournament used 250 fields; 13 distributed raw-byte checkpoints satisfy the exact pair rule.",VERIFIED,"Drive folder listing; REAL_250FIELD_TOURNAMENT_20260913.md; ASCII_250_FORENSIC_REPORT.md","piv_tournament/scripts/astra_colab_ascii_freeze.py; piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_FORENSIC_REPORT.md",Figure 2,"Full 250/250 cryptographic freeze still pending for population-wide byte-level provenance.",YES_SCOPED
C004,6.3/7.2,"Across the 13 byte-audited PIVlab exports, spatial conversion is invariant at 0.00019061 m/px.","Complete raw exported headers.","13 complete raw files from beginning, interior and end contain the same xy conversion.",VERIFIED,"ASCII_250_FORENSIC_REPORT.md; raw PIVlab_*.txt sample","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_MANIFEST.csv",Table 1,"250/250 freeze required before describing invariance across the full historical population.",YES_SCOPED
C005,6.3/7.2,"Across the 13 byte-audited PIVlab exports, velocity conversion is invariant at 0.20386 (m/s)/(px/frame).","Complete raw exported headers.","13 complete raw files contain the same uv conversion.",VERIFIED,"ASCII_250_FORENSIC_REPORT.md; raw PIVlab_*.txt sample","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_MANIFEST.csv",Table 1,"250/250 freeze required before population-wide wording.",YES_SCOPED
C006,6.3,"The stored conversion factors imply Δt = 0.0009350044148 s (0.935004 ms).","Traceable derivation from xy and uv conversion factors plus unit relation.","Derived from 0.00019061/0.20386.",DERIVED_FROM_VERIFIED_DATA,"ASCII_250_FORENSIC_REPORT.md","deterministic unit calculation documented in manuscript methods","MANUSCRIPT_EVIDENCE_MATRIX.csv",Table 1,"Must still be reconciled with canonical acquisition timing; not a substitute for ffprobe/container FPS.",YES_SCOPED
C007,6.3,"The stored conversion factors imply an effective sampling interval corresponding to approximately 1069.5137 Hz.","1/Δt derivation.","Derived from verified-sample conversion metadata.",DERIVED_FROM_VERIFIED_DATA,"ASCII_250_FORENSIC_REPORT.md","deterministic unit calculation","MANUSCRIPT_EVIDENCE_MATRIX.csv",Table 1,"Canonical declared FPS remains pending.",YES_SCOPED
C008,6.4/7.2,"Each of the 13 byte-audited exports contains 3850 rows arranged on a 70 × 55 coordinate lattice.","Full raw row parse and unique-coordinate counts.","All 13 complete raw files satisfy the same row and grid counts.",VERIFIED,"ASCII_250_FORENSIC_REPORT.md","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_MANIFEST.csv",Figure 3/Table 1,"Population-wide statement awaits full 250 freeze.",YES_SCOPED
C009,6.4/7.2,"Each of the 13 byte-audited exports contains 2658 type-0/masked nodes and 1192 finite active vectors.","Full raw Vector type and finite u/v parse.","All 13 raw files show identical counts; type-0 mask is the complement of finite active vectors.",VERIFIED,"ASCII_250_FORENSIC_REPORT.md","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_MANIFEST.csv",Figure 3/Table 1,"Population-wide byte-level proof awaits full 250 freeze.",YES_SCOPED
C010,6.4/7.2,"The coordinate grid and type-0 mask are invariant across the 13 byte-audited exports.","Grid and mask hashes from complete raw files.","Coordinate-grid SHA-256 is identical across all 13; report states type-0 mask is byte-identical.",VERIFIED,"ASCII_250_FORENSIC_REPORT.md","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_FORENSIC_REPORT.md",Figure 3,"Full 250 freeze required for full-population claim.",YES_SCOPED
C011,6.4/7.2,"The median exported lattice pitch across the audited raw grids is 0.00343104452 m, equivalent to 18.00033849 px using the stored spatial scale.","Unique-coordinate spacing from complete raw grids and stored xy calibration.","Calculated from all unique coordinates in the 13 raw files.",DERIVED_FROM_VERIFIED_DATA,"ASCII_250_FORENSIC_REPORT.md","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_FORENSIC_REPORT.md",Figure 3,"Does not prove interrogation overlap or first-pass configuration.",YES_SCOPED
C012,6.4/7.2,"Among active vectors, direct/type-1 fraction varies from approximately 49.92% to 62.08% across the 13 audited exports.","Raw Vector type counts in complete files.","Observed type-1/type-2 composition varies while grid and active mask remain fixed.",VERIFIED,"ASCII_250_FORENSIC_REPORT.md","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_MANIFEST.csv",Figure 4,"Full 250 temporal curve and probability map not yet generated from a 250/250 frozen set.",YES_SCOPED
C013,6.5,"Historical first-pass interrogation size was 32 px.","Authoritative PIVlab session/settings or executable raw-image reconstruction matching exported coordinates.","generar_serie_pivlab.py says 32; thesis says 36; GVT_Vortex_Analysis_Main.m comment says 64.",BLOCKED,"PARAMETER_CONTRADICTION_LEDGER.csv; generar_serie_pivlab.py; Documento_Limpio.pdf; GVT_Vortex_Analysis_Main.m",,"",Figure 3,"[BLOCKER — CONTRADICTORY EVIDENCE] 32 vs 36 vs 64 px.",NO
