blocker_id,category,description,evidence_conflict_or_missing_item,required_resolution,affected_sections,submission_severity,status
B001,Canonical provenance,"Complete canonical source identity/decode audit has not executed.","SHA-256; ffprobe; EOF decode; decoder error count; direct 4250–4500 decode are unavailable because current connector cannot transfer the 714939306-byte MP4.","Run authenticated exact-ID M0 notebook/CLI and obtain PASS evidence package.","6.1; 6.3; 7.1; all downstream experimental gates",CRITICAL,OPEN
B002,ASCII provenance,"Full 250/250 cryptographic PIVlab export freeze is incomplete.","13/250 complete files are SHA-frozen; folder namespace is visible but remaining 237 files are not byte-hashed in the frozen manifest.","Run astra_colab_ascii_freeze.py; require exactly 0001–0250, provider metadata, local integrity, pair continuity, grid/calibration checks and SHA-256 for all files.","6.3; 6.4; 7.1; 7.2",MAJOR,OPEN
B003,Acquisition metadata,"Actual encoded canonical video resolution is unknown.","Manufacturer full-frame capability is 1280×1024; thesis prose calls 1630×1345 native; project script uses 1630×1345 as bilinear resampling target.","Canonical ffprobe from M0.","6.2; Table 1",MAJOR,OPEN
B004,PIV settings,"Historical first-pass interrogation window is unresolved.","32 px in generar_serie_pivlab.py; 36 px in final thesis; 64 px in GVT_Vortex_Analysis_Main.m comment.","Recover authoritative PIVlab session/settings or reproduce archived exports from raw images with documented configuration.","6.5; Figure 3",CRITICAL,OPEN
B005,PIV settings,"Final 18 px / 50% overlap description is inconsistent with exported grid geometry.","Documented 18 px window + 50% overlap implies 9 px step; raw audited exported lattice pitch is nominally 18 px.","Recover session/settings or establish documented post-PIV decimation/resampling that explains lattice coordinates.","6.5; 7.2; Figure 3",CRITICAL,OPEN
B006,PIV vector validation,"Actual historical filtering algorithm and thresholds are not authoritative.","Raw exports include Vector type but no session thresholds; thesis prose and reconstruction-script constants cannot establish saved historical configuration.","Recover session/settings and execute vector-class reproduction/sensitivity.","6.5; 7.2; Discussion 8.2",CRITICAL,OPEN
B007,VDP definition,"Historical VDP >95% is not definitionally reconciled with PIVlab direct/type-1 fraction.","HardwareX-style draft reports VDP >95%; byte-audited exports show direct/type-1 fraction 49.92–62.08% among active vectors.","Reconstruct exact VDP formula, denominator, vector classes and calculation from original workflow; compare like-for-like.","7.2; Discussion 8.2",MAJOR,OPEN
B008,Calibration,"Final spatial calibration has not been independently reconstructed.","Export metadata supports 0.00019061 m/px in audited files; thesis includes ROI-based calibration prose but calibration-image trace is not yet frozen.","Recover calibration image/reference, reproduce scale, quantify calibration uncertainty and reconcile with stored PIVlab scale.","6.3; 6.8; Table 1/Table 3",CRITICAL,OPEN
B009,Timing,"Final temporal separation is derived but not independently tied to canonical acquisition metadata.","xy/uv implies 0.935004 ms; project script uses 1/1069 s; canonical declared FPS unavailable.","M0 ffprobe plus acquisition/timing evidence; document exact Δt basis used by PIVlab.","6.3; 6.8",MAJOR,OPEN
B010,Operating condition,"Canonical run flow condition is not re-established in current frozen evidence.","Earlier thesis values exist but run-specific flow evidence is not frozen.","Recover flow-control/run log or calibrated measurement tied to canonical acquisition.","6.2; Table 1",CRITICAL,OPEN
