parameter,claimed_value,raw_evidence,script_evidence,thesis_value,old_HardwareX_value,status,accepted_value,reason,blocker,manuscript_location
canonical_source,"vid_2025-08-29_19-28-15.mp4; Drive ID 1AqnbXPiEFmCsUeO3WlwkuxolkxI7af6U; 714939306 bytes","Drive metadata identity and size","M0 runner binds ID/name/size/provider MD5",canonical source named,canonical source named,VERIFIED_METADATA,"name + Drive ID + size","Provider metadata are authoritative for object identity/size; complete digest still external",complete SHA-256 and decode,HardwareX source files / Q1 provenance
camera_model,Chronos 1.4,"Manufacturer Rev5 datasheet asset in Drive",,Chronos 1.4,Chronos 1.4,VERIFIED_ASSET,Chronos 1.4,"Manufacturer documentation located",none for model identity,Hardware specifications
camera_native_sensor_resolution,"1280 x 1024 @ 1069 FPS","Chronos 1.4 Rev5 datasheet",,"1630 x 1345 described as native","1280 x 1024 reported",CONTRADICTION_REDUCED,"1280 x 1024 is manufacturer full-frame sensor capability","Manufacturer specification directly contradicts thesis native-resolution wording; 1630x1345 also appears as explicit bilinear resampling target",actual encoded acquisition dimensions still require canonical ffprobe,Hardware specifications / acquisition
canonical_encoded_video_resolution,unknown,"Canonical bytes unavailable to current connector","M0 ffprobe will measure width/height",1630 x 1345 claimed native,1280 x 1024 reported,BLOCKED,,"Neither prose nor sensor capability proves encoded canonical dimensions",canonical M0 ffprobe,Acquisition
postprocessing_resample_dimensions,"1630 x 1345",,"GVT_Vortex_Analysis_Main.m sets imgW=1630 imgH=1345 then imresize(...,'bilinear')",1630 x 1345 also called native,,VERIFIED_SCRIPT_BEHAVIOR,"1630 x 1345 bilinear analysis grid in this script","Direct executable script evidence",whether this script generated publication fields,Analysis/reconstruction
legacy_ROI,"955 x 955 px",,"generar_serie_pivlab.py uses ROI_DIGITAL_PX=955",955 x 955,,DOCUMENTED_NOT_RAW,,"No raw canonical frame/ROI mask audit yet",canonical frame/ROI evidence,Experimental methodology
spatial_scale,"0.00019061 m/px",PIVlab ASCII headers,,calibration prose varies in older material,,VERIFIED,0.00019061 m/px,"Stored raw export metadata",calibration-image reconstruction desirable,PIV calibration
velocity_conversion,"0.20386 (m/s)/(px/frame)",PIVlab ASCII headers,,,,VERIFIED,"0.20386 (m/s)/(px/frame)","Stored raw export metadata",none for export metadata,PIV calibration
Delta_t,"0.0009350044148 s",PIVlab xy/uv metadata ratio,,~0.935 ms,,DERIVED,"0.0009350044148 s","Derived directly from two raw stored conversion factors",compare against canonical acquisition metadata,PIV timing
sampling_frequency,"~1069.5137 Hz",derived from PIV metadata,,1069 FPS,1069 FPS,DERIVED,"~1069.5137 Hz implied PIV sampling","1/Delta_t; not a substitute for container-declared FPS",canonical ffprobe,Acquisition
