trace_id,claim_id,numerical_or_technical_item,source_file,script_or_derivation,executed_output,figure_table,manuscript_sentence_target,trace_status
T001,C001,"Canonical basename; Drive ID; 714939306 bytes","Google Drive object metadata; piv_tournament/results/M0_STATUS.json","piv_tournament/scripts/astra_colab_m0.py","piv_tournament/results/M0_STATUS.json",Figure 2,"Methods 6.1: canonical acquisition identity paragraph",TRACEABLE
T002,C003,"Historical pair span 4250/4251–4499/4500","PIVlab raw exports; Drive namespace","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_FORENSIC_REPORT.md",Figure 2/Table 1,"Methods 6.3 / Results 7.1 provenance paragraph",TRACEABLE_SCOPED
T003,C004,"0.00019061 m/px","13 complete raw PIVlab headers","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_MANIFEST.csv",Table 1,"Methods 6.3 audited conversion paragraph",TRACEABLE_13_OF_250
T004,C005,"0.20386 (m/s)/(px/frame)","13 complete raw PIVlab headers","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_MANIFEST.csv",Table 1,"Methods 6.3 audited conversion paragraph",TRACEABLE_13_OF_250
T005,C006,"Δt=0.0009350044148 s","Audited xy and uv conversions","Δt = spatial conversion / velocity conversion","manuscript deterministic derivation",Table 1,"Methods 6.3 derived timing sentence",TRACEABLE_DERIVED
T006,C008,"3850 rows; 70×55 grid","13 complete raw PIVlab files","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_MANIFEST.csv",Figure 3/Table 1,"Results 7.2 grid-geometry sentence",TRACEABLE_13_OF_250
T007,C009,"2658 type-0; 1192 finite active vectors","13 complete raw PIVlab files","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_MANIFEST.csv",Figure 3/Table 1,"Results 7.2 support-mask sentence",TRACEABLE_13_OF_250
T008,C010,"Invariant coordinate-grid hash","13 complete raw PIVlab files","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_FORENSIC_REPORT.md",Figure 3,"Results 7.2 invariant-grid sentence",TRACEABLE_13_OF_250
T009,C011,"0.00343104452 m = 18.00033849 px median pitch","13 full raw coordinate grids + stored scale","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_FORENSIC_REPORT.md",Figure 3,"Results 7.2 exported-pitch sentence",TRACEABLE_13_OF_250
T010,C012,"Direct/type-1 fraction 49.92–62.08%","13 raw Vector type columns","piv_tournament/scripts/freeze_pivlab_ascii.py","piv_tournament/results/ASCII_250_MANIFEST.csv",Figure 4,"Results 7.2 direct-vector variability sentence",TRACEABLE_13_OF_250
